2024,Institution,Location,Score,Subject
=312,Universidade_Nova_de_Lisboa,Portugal,65.9,Arts__Humanities
=312,University_of_Antwerp,Belgium,65.9,Arts__Humanities
=316,Dublin_City_University,Ireland,65.8,Arts__Humanities
=316,University_of_Lausanne,Switzerland,65.8,Arts__Humanities
=316,University_of_Victoria_UVic,Canada,65.8,Arts__Humanities
=319,KarlFranzensUniversitaet_Graz,Austria,65.7,Arts__Humanities
=319,King_Saud_University,Saudi_Arabia,65.7,Arts__Humanities
=319,UNESP,Brazil,65.7,Arts__Humanities
=319,University_of_Coimbra,Portugal,65.7,Arts__Humanities
=319,University_of_Leicester,United_Kingdom,65.7,Arts__Humanities
=319,University_of_Rochester,United_States,65.7,Arts__Humanities
=325,Ateneo_de_Manila_University,Philippines,65.6,Arts__Humanities
=325,Eindhoven_University_of_Technology,Netherlands,65.6,Arts__Humanities
=325,McMaster_University,Canada,65.6,Arts__Humanities
=325,University_of_Witwatersrand,South_Africa,65.6,Arts__Humanities
=325,Washington_University_in_St_Louis,United_States,65.6,Arts__Humanities
=330,Manchester_Metropolitan_University_MMU,United_Kingdom,65.5,Arts__Humanities
=330,MGIMO_University,Russia,65.5,Arts__Humanities
=330,Universit_ParisNanterre,France,65.5,Arts__Humanities
=333,Masaryk_University,Czech_Republic,65.4,Arts__Humanities
=333,The_American_University_in_Cairo,Egypt,65.4,Arts__Humanities
=333,Universit_de_Strasbourg,France,65.4,Arts__Humanities
=333,University_of_South_Australia,Australia,65.4,Arts__Humanities
337,City_University_of_London,United_Kingdom,65.3,Arts__Humanities
=338,Massey_University,New_Zealand,65.2,Arts__Humanities
=338,Tel_Aviv_University,Israel,65.2,Arts__Humanities
=338,Universidade_Federal_de_Minas_Gerais______,Brazil,65.2,Arts__Humanities
=338,University_of_Tartu,Estonia,65.2,Arts__Humanities
=342,Hong_Kong_Baptist_University,Hong_Kong_SAR,65.0,Arts__Humanities
=342,Tianjin_University,China_Mainland,65.0,Arts__Humanities
